t,dK,dC
0,0,-6.25255e-11
1,7.76905e-11,2.22373e-11
2,5.77839e-11,2.09481e-11
3,3.85692e-11,1.3404e-11
4,2.63223e-11,8.87234e-12
5,1.82396e-11,6.01042e-12
6,1.27764e-11,4.13954e-12
7,9.02013e-12,2.8858e-12
8,6.40493e-12,2.03003e-12
9,4.56704e-12,1.43772e-12
10,3.26634e-12,1.02338e-12
11,2.34095e-12,7.3116e-13
12,1.68002e-12,5.23787e-13
13,1.20663e-12,3.75928e-13
14,8.66904e-13,2.70133e-13
15,6.22779e-13,1.94241e-13
16,4.47221e-13,1.39704e-13
17,3.20933e-13,1.00467e-13
18,2.30094e-13,7.22209e-14
19,1.64776e-13,5.18815e-14
